Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1557343467.776960,1007513,1,0
1,NewOrder,1557343467.782628,1008197,0,0
5,StockLevel,1557343467.784859,1000902,1,0
2,Payment,1557343467.785967,1002854,1,0
3,OrderStatus,1557343467.789299,1000916,1,0
2,Payment,1557343467.790380,1003298,1,0
2,Payment,1557343467.790381,1005057,0,0
2,Payment,1557343467.793902,1003420,1,0
2,Payment,1557343467.795000,1004381,0,0
2,Payment,1557343467.797252,1004159,1,0
2,Payment,1557343467.798626,1004586,0,0
1,NewOrder,1557343467.802037,1008277,1,0
1,NewOrder,1557343467.804358,1003943,0,0
2,Payment,1557343467.808992,1003213,0,0
2,Payment,1557343467.810067,1004094,1,0
2,Payment,1557343467.812250,1003771,0,0
1,NewOrder,1557343467.814498,1007350,1,0
1,NewOrder,1557343467.815628,1008002,0,0
1,NewOrder,1557343467.821420,1004873,1,0
1,NewOrder,1557343467.823962,1007964,0,0
2,Payment,1557343467.826357,1003224,1,0
1,NewOrder,1557343467.829734,1005162,1,0
5,StockLevel,1557343467.832401,1001157,0,0
1,NewOrder,1557343467.833538,1006845,0,0
2,Payment,1557343467.834863,1003122,1,0
4,Delivery,1557343467.838272,1010324,1,0
1,NewOrder,1557343467.840753,1005381,0,0
1,NewOrder,1557343467.846591,1004391,0,0
1,NewOrder,1557343467.849063,1005822,1,0
5,StockLevel,1557343467.851538,1000809,0,0
3,OrderStatus,1557343467.852765,1001473,0,0
1,NewOrder,1557343467.853874,1005849,0,0
2,Payment,1557343467.854985,1002931,1,0
2,Payment,1557343467.858722,1003222,1,0
1,NewOrder,1557343467.859833,1007754,0,0
2,Payment,1557343467.862036,1003108,1,0
2,Payment,1557343467.865331,1004061,1,0
2,Payment,1557343467.867692,1003524,0,0
1,NewOrder,1557343467.868776,1007949,1,0
2,Payment,1557343467.870933,1003738,0,0
2,Payment,1557343467.875549,1002977,0,0
1,NewOrder,1557343467.876623,1005026,1,0
1,NewOrder,1557343467.878842,1007670,0,0
5,StockLevel,1557343467.882113,1000761,1,0
1,NewOrder,1557343467.883206,1005572,1,0
1,NewOrder,1557343467.886436,1005776,0,0
1,NewOrder,1557343467.887502,1006739,1,0
2,Payment,1557343467.892904,1003117,0,0
1,NewOrder,1557343467.894159,1004960,1,0
1,NewOrder,1557343467.895258,1007599,0,0
1,NewOrder,1557343467.899779,1001609,1,0
1,NewOrder,1557343467.900882,1007677,1,0
2,Payment,1557343467.903276,1002590,0,0
1,NewOrder,1557343467.906579,1008108,0,0
1,NewOrder,1557343467.908773,1007917,1,0
1,NewOrder,1557343467.915023,1003636,0,0
1,NewOrder,1557343467.917201,1007302,1,0
2,Payment,1557343467.918285,1003504,0,0
2,Payment,1557343467.921577,1005068,0,0
1,NewOrder,1557343467.923736,1008044,1,0
1,NewOrder,1557343467.925980,1007950,0,0
2,Payment,1557343467.932842,1002984,1,0
1,NewOrder,1557343467.933941,1008813,0,0
2,Payment,1557343467.936133,1002715,1,0
1,NewOrder,1557343467.939395,1006481,1,0
5,StockLevel,1557343467.942924,1001374,0,0
3,OrderStatus,1557343467.945113,1000266,0,0
2,Payment,1557343467.946199,1002449,0,0
2,Payment,1557343467.946199,1004528,1,0
3,OrderStatus,1557343467.948356,1001765,0,0
2,Payment,1557343467.950752,1002512,0,0
1,NewOrder,1557343467.950752,1007458,1,0
1,NewOrder,1557343467.952960,1007177,0,0
1,NewOrder,1557343467.958505,1003917,1,0
5,StockLevel,1557343467.959795,1001589,0,0
1,NewOrder,1557343467.960888,1007504,0,0
2,Payment,1557343467.961982,1003196,1,0
2,Payment,1557343467.964280,1006091,1,0
3,OrderStatus,1557343467.967586,1001636,0,0
2,Payment,1557343467.968679,1003687,0,0
2,Payment,1557343467.970887,1003539,1,0
1,NewOrder,1557343467.972765,1005052,0,0
1,NewOrder,1557343467.973915,1007624,1,0
1,NewOrder,1557343467.977266,1006344,0,0
2,Payment,1557343467.981088,1004521,1,0
2,Payment,1557343467.983291,1004163,0,0
2,Payment,1557343467.985669,1003734,1,0
2,Payment,1557343467.986978,1004608,0,0
1,NewOrder,1557343467.989446,1007318,1,0
2,Payment,1557343467.991723,1003204,0,0
1,NewOrder,1557343467.993989,1006545,0,0
1,NewOrder,1557343467.996450,1005948,1,0
1,NewOrder,1557343467.999812,1010741,0,0
2,Payment,1557343468.003445,1001846,1,0
2,Payment,1557343468.005682,1002538,1,0
2,Payment,1557343468.009076,1003490,1,0
2,Payment,1557343468.011322,1003065,0,0
5,StockLevel,1557343468.012477,1001373,1,0
1,NewOrder,1557343468.013619,1009941,1,0
1,NewOrder,1557343468.014914,1006854,0,0
2,Payment,1557343468.021929,1003633,0,0
3,OrderStatus,1557343468.023271,1002039,1,0
1,NewOrder,1557343468.024455,1006025,1,0
2,Payment,1557343468.025627,1003074,0,0
2,Payment,1557343468.027934,1004706,0,0
1,NewOrder,1557343468.030373,1006918,1,0
1,NewOrder,1557343468.032652,1006577,0,0
2,Payment,1557343468.038569,1002466,1,0
4,Delivery,1557343468.038573,1013554,0,0
1,NewOrder,1557343468.040859,1006613,1,0
2,Payment,1557343468.047779,1002580,1,0
1,NewOrder,1557343468.049981,1008058,1,0
1,NewOrder,1557343468.052273,1007562,0,0
2,Payment,1557343468.058193,1003474,1,0
4,Delivery,1557343468.060589,1010504,0,0
5,StockLevel,1557343468.061723,1001264,1,0
2,Payment,1557343468.062821,1003264,1,0
1,NewOrder,1557343468.065447,1008327,1,0
2,Payment,1557343468.072043,1003548,0,0
2,Payment,1557343468.074228,1003148,1,0
1,NewOrder,1557343468.076384,1005948,0,0
2,Payment,1557343468.077723,1002552,1,0
1,NewOrder,1557343468.081025,1005182,1,0
1,NewOrder,1557343468.083197,1007077,0,0
5,StockLevel,1557343468.086573,1000919,1,0
2,Payment,1557343468.087832,1004436,1,0
2,Payment,1557343468.091081,1003163,0,0
5,StockLevel,1557343468.092169,1001329,1,0
1,NewOrder,1557343468.094317,1004947,1,0
2,Payment,1557343468.094317,1002845,0,0
2,Payment,1557343468.097543,1003897,0,0
2,Payment,1557343468.099711,1003682,1,0
1,NewOrder,1557343468.100791,1011227,0,0
1,NewOrder,1557343468.102987,1007022,1,0
2,Payment,1557343468.109778,1003921,1,0
1,NewOrder,1557343468.111915,1006635,0,0
1,NewOrder,1557343468.113019,1007291,1,0
2,Payment,1557343468.118981,1003182,0,0
1,NewOrder,1557343468.120129,1005507,1,0
1,NewOrder,1557343468.122390,1008783,0,0
1,NewOrder,1557343468.126048,1007034,1,0
2,Payment,1557343468.130826,1004753,0,0
2,Payment,1557343468.133055,1004233,1,0
1,NewOrder,1557343468.135696,1007262,0,0
2,Payment,1557343468.136780,1003684,1,0
1,NewOrder,1557343468.141109,1006786,1,0
1,NewOrder,1557343468.143475,1006402,0,0
1,NewOrder,1557343468.147774,1007610,1,0
2,Payment,1557343468.149947,1002680,0,0
3,OrderStatus,1557343468.153513,999672,0,0
2,Payment,1557343468.153513,1003786,0,0
4,Delivery,1557343468.155702,1011267,1,0
2,Payment,1557343468.156818,1003550,0,0
1,NewOrder,1557343468.160564,1008298,0,0
2,Payment,1557343468.166155,1004856,1,0
1,NewOrder,1557343468.169423,1003943,0,0
2,Payment,1557343468.171658,1003575,1,0
1,NewOrder,1557343468.172828,1009553,0,0
2,Payment,1557343468.175409,1003049,1,0
1,NewOrder,1557343468.178739,1005885,1,0
1,NewOrder,1557343468.182224,1007484,0,0
2,Payment,1557343468.184384,1003171,1,0
2,Payment,1557343468.187638,1004212,1,0
1,NewOrder,1557343468.188724,1007975,0,0
2,Payment,1557343468.191095,1003600,1,0
2,Payment,1557343468.194672,1003878,1,0
1,NewOrder,1557343468.196820,1006939,0,0
1,NewOrder,1557343468.198981,1007004,1,0
1,NewOrder,1557343468.203602,1007917,0,0
2,Payment,1557343468.205771,1003094,1,0
2,Payment,1557343468.209296,1004397,1,0
2,Payment,1557343468.211662,1003908,0,0
2,Payment,1557343468.213814,1003612,1,0
2,Payment,1557343468.215968,1003415,0,0
2,Payment,1557343468.218138,1003091,1,0
2,Payment,1557343468.219428,1003669,0,0
1,NewOrder,1557343468.221577,1004794,1,0
1,NewOrder,1557343468.223876,1021818,0,0
2,Payment,1557343468.227112,1002512,1,0
3,OrderStatus,1557343468.229294,1002483,1,0
